epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2174,1.60282,2.80225,2.00227,1.29526,0.55075,0.37988,0.45414,0.19718,0.56406,0.40099,0.44309,0.19776,1.79793,2.46042,1.66442,1.49181,0.00066,0.00066,0.00066
2,50.8137,1.51024,2.38603,1.38494,1.24187,0.45931,0.38028,0.38021,0.18413,0.41217,0.4507,0.3934,0.17407,2.05747,3.83319,1.82779,1.81531,0.00123911,0.00123911,0.00123911
3,71.9505,1.50213,2.30678,1.33117,1.22573,0.36069,0.47887,0.34107,0.17197,0.44192,0.5493,0.39713,0.14425,1.92456,3.26328,1.80213,1.72747,0.00173021,0.00173021,0.00173021
4,93.004,1.5117,2.30484,1.2929,1.21585,0.6109,0.50863,0.58403,0.26545,0.59707,0.50096,0.56828,0.28057,1.7757,2.46045,1.45668,1.6783,0.001604,0.001604,0.001604
5,115.219,1.4334,2.16062,1.22933,1.1901,0.54441,0.49296,0.53339,0.25249,0.54579,0.49296,0.53904,0.25748,1.75472,2.39411,1.55583,1.51134,0.001472,0.001472,0.001472
6,135.12,1.43551,2.1414,1.23547,1.19829,0.6417,0.57746,0.61447,0.30718,0.6417,0.57746,0.59644,0.25114,1.64668,2.59061,1.31224,1.44739,0.00134,0.00134,0.00134
7,153.428,1.37512,2.03008,1.15258,1.18136,0.64084,0.42729,0.51027,0.27642,0.64084,0.42729,0.50775,0.26704,1.60108,2.36523,1.38927,1.32175,0.001208,0.001208,0.001208
8,173.21,1.34558,1.99498,1.09392,1.15826,0.74858,0.54522,0.63742,0.29991,0.70784,0.51192,0.61603,0.28491,1.64032,2.34183,1.24701,1.46079,0.001076,0.001076,0.001076
9,191.281,1.31644,1.89512,1.04161,1.1387,0.82194,0.52113,0.63756,0.31383,0.76089,0.53788,0.65339,0.31069,1.65022,2.43664,1.25089,1.60482,0.000944,0.000944,0.000944
10,209.164,1.23581,1.82465,0.9665,1.10289,0.70418,0.5493,0.63898,0.32961,0.68412,0.57746,0.64073,0.32267,1.57724,2.27632,1.18141,1.45172,0.000812,0.000812,0.000812
11,227.207,1.20597,1.78149,0.91357,1.08515,0.73742,0.59334,0.65775,0.33723,0.73742,0.59334,0.65947,0.33019,1.54912,2.24076,1.12648,1.53463,0.00068,0.00068,0.00068
12,246.46,1.15301,1.68956,0.83581,1.05326,0.66207,0.59155,0.65028,0.35002,0.69721,0.58383,0.65916,0.32932,1.71291,2.45905,1.0962,1.58897,0.000548,0.000548,0.000548
13,265.267,1.11103,1.63064,0.80764,1.0356,0.74378,0.61972,0.65365,0.35872,0.83554,0.56338,0.67412,0.33306,1.61087,2.47235,1.03716,1.48117,0.000416,0.000416,0.000416
14,283.393,1.08526,1.57139,0.76675,1.01814,0.80377,0.57692,0.70398,0.36953,0.71971,0.61972,0.65576,0.33086,1.55315,2.55626,1.1593,1.44084,0.000284,0.000284,0.000284
15,301.447,1.03781,1.5544,0.73191,1.0022,0.82909,0.56338,0.65822,0.35893,0.7533,0.59155,0.6541,0.33751,1.61805,2.54945,1.11087,1.51603,0.000152,0.000152,0.000152
